,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Punta Arenas,CL,1529373600,-53.16,-70.91,33.8,100,19.46,40
1,Kodiak,US,1529369580,39.95,-94.76,87.8,58,8.05,75
2,Kawalu,ID,1529374309,-7.38,108.21,73.71,85,2.62,48
3,Duluth,US,1529372100,46.77,-92.13,71.6,72,4.7,1
4,Lakes Entrance,AU,1529374309,-37.88,147.99,54.54,97,5.19,92
5,Eberbach,DE,1529374309,49.46,8.99,60.3,85,4.29,80
6,Saint George,BM,1529373300,32.38,-64.68,73.4,73,5.82,40
7,Bambous Virieux,MU,1529370000,-20.34,57.76,68.0,88,8.05,20
8,Alexandria,EG,1529370000,31.2,29.89,73.4,83,2.24,0
9,Nowy Dwor Mazowiecki,PL,1529371800,52.43,20.72,62.6,88,4.7,0
10,Melilla,ES,1529371800,35.29,-2.94,68.0,82,1.12,0
11,Rawson,AR,1529374310,-43.3,-65.11,53.46,64,11.12,36
12,Sfantu Gheorghe,RO,1529371800,44.65,26.83,64.4,93,4.7,0
13,Pevek,RU,1529374283,69.7,170.27,42.84,69,10.22,32
14,Cabinda,AO,1529374311,-5.56,12.19,74.7,100,9.78,12
15,Carnarvon,AU,1529374311,-24.87,113.63,62.46,100,20.96,0
16,Luang Prabang,LA,1529370000,19.89,102.14,80.6,88,2.24,90
17,Semey,KZ,1529374311,50.41,80.25,70.02,59,15.7,0
18,Lavrentiya,RU,1529374311,65.58,-170.99,42.3,87,12.57,0
19,Tateyama,JP,1529370000,36.66,137.31,84.2,51,4.7,40
20,Wilmington,US,1529373000,39.75,-75.55,84.2,88,3.36,75
21,Saskylakh,RU,1529374312,71.97,114.09,55.98,82,11.23,32
22,Forrest City,US,1529373180,35.01,-90.79,82.4,69,10.29,20
23,Xining,CN,1529374312,36.62,101.77,59.4,74,1.95,56
24,Verkhnevilyuysk,RU,1529374312,63.45,120.31,65.7,41,3.51,0
25,Oriximina,BR,1529374312,-1.77,-55.87,75.06,92,2.17,0
26,Vadlapudi,IN,1529374313,14.32,79.8,88.56,50,6.08,36
27,Kyren,RU,1529374313,51.68,102.13,64.8,64,2.73,0
28,Tiksi,RU,1529374313,71.64,128.87,57.33,74,3.96,0
29,Papetoai,PF,1529373600,-17.5,-149.87,84.2,62,4.7,40
30,Herat,AF,1529370900,34.35,62.22,75.2,29,3.36,0
31,Ushtobe,KZ,1529374313,45.25,77.98,75.33,58,4.85,76
32,Mutoko,ZW,1529374313,-17.4,32.23,45.27,84,2.73,0
33,Muyezerskiy,RU,1529374314,63.93,31.65,61.2,74,3.4,8
34,Bonavista,CA,1529374314,48.65,-53.11,45.0,90,21.74,100
35,Payson,US,1529372100,40.04,-111.73,75.2,31,10.29,1
36,Sur,OM,1529374314,22.57,59.53,87.75,84,4.97,0
37,Springdale,CA,1529374314,49.5,-56.06,44.64,90,23.76,92
38,Adrar,DZ,1529370000,27.87,-0.29,93.2,10,6.93,0
39,Faanui,PF,1529374314,-16.48,-151.75,78.12,100,15.48,88
40,Iranshahr,IR,1529374213,27.21,60.69,81.45,24,4.41,0
41,Yarim,YE,1529374315,14.3,44.38,52.2,40,2.73,0
42,Dalaba,GN,1529374315,10.69,-12.25,65.25,98,4.97,64
43,Namtsy,RU,1529374315,62.72,129.66,64.71,60,3.4,56
44,Bagdarin,RU,1529374315,54.44,113.59,62.91,47,5.19,0
45,Kidal,ML,1529374284,18.44,1.41,91.8,14,5.75,92
46,Tuntum,BR,1529374316,-5.26,-44.64,72.18,92,4.63,36
47,Sept-Iles,CA,1529370000,50.2,-66.38,48.2,100,3.36,90
48,Cihuatlan,MX,1529372880,19.24,-104.57,80.6,83,9.17,75
49,Inhambane,MZ,1529374316,-23.87,35.38,67.5,100,11.12,0
50,Krasnyy Oktyabr,RU,1529374316,56.12,38.88,67.14,69,2.95,0
51,Llata,PE,1529374316,-9.55,-76.82,28.26,86,1.72,0
52,Chokurdakh,RU,1529374252,70.62,147.9,48.06,89,12.35,8
53,Mizdah,LY,1529374316,31.45,12.98,56.7,84,2.73,0
54,Thompson,CA,1529370000,55.74,-97.86,77.0,44,3.36,75
55,Pussi,EE,1529374317,59.36,27.05,58.68,79,12.46,0
56,Businga,CD,1529374317,3.34,20.89,67.59,98,2.84,80
57,San Gabriel,MX,1529372460,21.13,-100.83,62.6,93,5.82,90
58,Aquitania,CO,1529374317,5.52,-72.88,61.2,100,2.06,88
59,Saint-Philippe,RE,1529371800,-21.36,55.77,68.0,45,9.17,0
60,Castro,CL,1529374318,-42.48,-73.76,46.26,100,6.76,92
61,Porto Novo,CV,1529370000,17.02,-25.06,71.6,73,16.11,20
62,Baykit,RU,1529374318,61.68,96.39,74.43,63,4.63,0
63,Caravelas,BR,1529374318,-17.73,-39.27,75.69,100,15.14,76
64,Natal,BR,1529373600,-5.81,-35.21,75.2,83,4.7,0
65,Egvekinot,RU,1529374319,66.32,-179.17,50.49,67,2.62,36
66,Changli,CN,1529374319,30.54,105.42,81.36,94,5.19,24
67,Amot,NO,1529374319,59.57,7.99,42.84,89,8.21,36
68,Jardim,BR,1529374319,-21.48,-56.15,58.32,88,4.85,0
69,Solnechnyy,RU,1529374319,50.72,136.64,50.31,100,5.97,76
70,Gouyave,GD,1529370000,12.16,-61.73,80.6,88,23.04,75
71,Saint-Louis,SN,1529374319,16.03,-16.5,71.55,100,16.71,68
72,Imeni Poliny Osipenko,RU,1529374320,52.42,136.49,46.44,99,12.01,92
73,Neftcala,AZ,1529374320,39.37,49.25,72.99,72,4.29,0
74,Arlit,NE,1529374320,18.74,7.39,75.15,19,1.05,24
75,Xihe,CN,1529374320,34.02,105.29,66.96,75,3.29,64
76,Tautira,PF,1529373600,-17.73,-149.15,84.2,62,4.7,40
77,Le Vauclin,MQ,1529373600,14.55,-60.84,75.2,88,3.36,75
78,Bintulu,MY,1529370000,3.17,113.03,84.2,83,3.36,75
79,Fatehgarh,IN,1529374321,27.36,79.63,92.7,67,4.63,12
80,Broome,AU,1529371800,-17.97,122.23,73.4,23,9.17,0
81,Shelton,US,1529373180,47.22,-123.1,87.8,35,6.93,1
82,Preobrazheniye,RU,1529374321,42.9,133.91,71.46,66,3.06,20
83,Chikitigarh,IN,1529374322,19.2,84.62,86.85,69,9.1,0
84,Berlevag,NO,1529374322,70.86,29.09,54.0,83,12.01,8
85,West Bay,KY,1529373600,19.37,-81.42,82.4,83,12.75,20
86,Bardiyah,LY,1529374322,31.76,25.09,72.72,97,6.87,20
87,Nantucket,US,1529372100,41.28,-70.1,69.8,100,11.41,90
88,Weligama,LK,1529374322,5.97,80.42,81.27,91,11.68,92
89,Carauari,BR,1529374222,-4.88,-66.9,73.71,83,4.41,24
90,Ilhabela,BR,1529374076,-23.78,-45.36,68.85,100,17.49,44
91,Georgetown,SH,1529374323,-7.93,-14.42,76.05,100,14.25,100
92,Kalmunai,LK,1529374323,7.42,81.82,83.16,81,8.99,0
93,Rehoboth,NA,1529374323,-23.31,17.08,35.73,71,3.18,0
94,Ocampo,MX,1529374323,27.32,-102.4,73.8,63,6.53,32
95,Reconquista,AR,1529374323,-29.14,-59.64,47.7,85,10.67,0
96,Nome,US,1529372100,30.04,-94.42,75.2,94,8.05,75
97,Bulgan,MN,1529374324,48.81,103.53,68.94,50,8.55,0
98,Bilma,NE,1529374324,18.69,12.92,77.67,19,7.31,0
99,Meulaboh,ID,1529374237,4.14,96.13,82.26,100,3.18,76
100,Zhuhai,CN,1529370000,40.71,112.04,75.2,19,8.95,0
101,Binzhou,CN,1529374324,37.38,117.96,82.26,75,9.22,68
102,Pisco,PE,1529373600,-13.71,-76.2,62.6,88,4.7,90
103,Ixtapa,MX,1529373180,20.71,-105.21,80.6,83,6.93,40
104,Port Lincoln,AU,1529374325,-34.72,135.86,54.09,96,16.71,80
105,Ancud,CL,1529374325,-41.87,-73.83,47.43,98,4.41,92
106,Sao Jose da Coroa Grande,BR,1529374325,-8.9,-35.15,75.6,84,6.87,100
107,Salalah,OM,1529369400,17.01,54.1,82.4,88,5.82,75
108,Ribeira Grande,PT,1529374325,38.52,-28.7,70.83,100,12.68,92
109,Santiago del Estero,AR,1529374325,-27.8,-64.26,55.71,54,14.36,0
110,Kulhudhuffushi,MV,1529374326,6.62,73.07,83.52,98,17.05,80
111,Necochea,AR,1529374326,-38.55,-58.74,52.47,66,18.05,20
112,Maragogi,BR,1529374050,-9.01,-35.22,75.6,84,6.87,100
113,Shetpe,KZ,1529374326,44.14,52.16,70.2,57,4.52,20
114,Visby,SE,1529371200,57.64,18.3,62.6,77,18.34,32
115,Pontianak,ID,1529374327,-0.02,109.34,85.32,90,5.19,36
116,Reporoa,NZ,1529374327,-38.44,176.35,50.13,100,2.62,92
117,Hermanus,ZA,1529374327,-34.42,19.24,51.3,98,7.99,64
118,Finschhafen,PG,1529374327,-6.6,147.85,79.47,81,3.85,48
119,Hofn,IS,1529374327,64.25,-15.21,47.07,97,10.11,92
120,Strezhevoy,RU,1529371800,60.73,77.6,57.2,100,4.47,75
121,Valverde del Camino,ES,1529374328,37.57,-6.75,62.73,71,2.62,0
122,North Myrtle Beach,US,1529372400,33.83,-78.68,82.4,94,6.93,1
123,Klyuchi,RU,1529374328,52.25,79.17,60.75,99,7.54,92
124,Kolokani,ML,1529374328,13.58,-8.03,80.73,54,9.55,68
125,Maskinonge,CA,1529374328,46.23,-73.02,65.16,78,9.78,32
126,Grindavik,IS,1529373600,63.84,-22.43,44.6,93,5.82,75
127,Carlisle,GB,1529369400,54.89,-2.94,44.6,93,17.22,0
128,Kurayoshi,JP,1529370000,35.43,133.83,82.4,54,8.05,75
129,Palencia,ES,1529374329,42.01,-4.53,57.78,74,12.91,0
130,Guerrero Negro,MX,1529374329,27.97,-114.04,61.92,86,13.47,0
131,Hovd,MN,1529374329,48.01,91.64,70.56,44,4.18,76
132,Luderitz,NA,1529374330,-26.65,15.16,53.1,92,8.66,44
133,Yerbogachen,RU,1529374330,61.28,108.01,75.69,47,4.52,0
134,Lokosovo,RU,1529374330,61.13,74.84,59.49,84,4.63,20
135,Xunchang,CN,1529374330,28.45,104.71,73.35,93,3.18,88
136,Sungaipenuh,ID,1529374330,-2.08,101.38,72.45,90,1.72,88
137,Victoria,SC,1529370000,-4.62,55.45,78.8,88,13.87,40
138,Scarborough,TT,1529370000,11.18,-60.73,77.0,88,9.17,40
139,Chickasha,US,1529372820,35.05,-97.94,87.8,62,13.87,1
140,Namibe,AO,1529374331,-15.19,12.15,66.96,100,5.41,8
141,Karangampel,ID,1529374331,-6.46,108.44,84.06,98,8.88,0
142,Pingliang,CN,1529374290,35.54,106.68,70.74,83,4.18,68
143,Altay,CN,1529374331,47.83,88.13,59.85,80,2.73,24
144,Agadir,MA,1529371800,30.42,-9.58,62.6,88,2.24,40
145,Beringovskiy,RU,1529374332,63.05,179.32,45.45,100,1.83,0
146,Armacao de Pera,PT,1529371800,37.1,-8.36,66.2,93,9.17,0
147,Samarai,PG,1529374332,-10.62,150.67,76.86,100,17.83,92
148,Aljezur,PT,1529374332,37.31,-8.8,65.88,88,3.29,0
149,Luganville,VU,1529374332,-15.51,167.18,77.31,100,12.91,92
150,Qandala,SO,1529374332,11.47,49.87,78.48,67,5.08,20
151,Rumia,PL,1529371800,54.57,18.4,57.2,87,1.12,0
152,Chicama,PE,1529373600,-7.84,-79.15,64.4,88,6.93,90
153,Aranos,NA,1529374333,-24.14,19.11,40.77,50,2.73,0
154,Riyadh,SA,1529370000,24.63,46.72,82.4,15,4.7,0
155,Fernandopolis,BR,1529374333,-20.28,-50.25,67.41,64,7.2,44
156,Devils Lake,US,1529372100,48.11,-98.87,69.8,49,3.36,1
157,Marfino,RU,1529371800,56.07,37.56,64.4,72,4.47,0
158,Balkanabat,TM,1529374334,39.51,54.36,75.96,32,1.95,20
159,Baruun-Urt,MN,1529374334,46.68,113.28,68.85,62,9.1,0
160,Sindor,RU,1529374334,62.87,51.9,62.01,67,4.63,0
161,Santa Helena de Goias,BR,1529374334,-17.81,-50.6,69.03,65,7.54,36
162,Carman,CA,1529372100,49.51,-98.0,77.0,36,5.82,1
163,Comodoro Rivadavia,AR,1529373600,-45.87,-67.48,53.6,50,13.87,0
164,Vigrestad,NO,1529369400,58.57,5.7,55.4,82,14.99,75
165,Puerto Carreno,CO,1529374335,6.19,-67.49,67.5,100,2.51,92
166,Kokkola,FI,1529371200,63.84,23.13,53.6,81,10.29,0
167,Yulara,AU,1529370000,-25.24,130.99,51.8,29,3.36,12
168,Port Hedland,AU,1529371800,-20.31,118.58,73.4,25,12.75,56
169,Batagay-Alyta,RU,1529374335,67.8,130.41,59.04,83,4.97,8
170,Sao Filipe,CV,1529374335,14.9,-24.5,71.46,100,9.66,12
171,Plouzane,FR,1529371800,48.38,-4.62,59.0,100,3.36,90
172,Boat of Garten,GB,1529373000,57.25,-3.76,50.0,81,18.34,20
173,Rikitea,PF,1529374336,-23.12,-134.97,72.45,100,19.62,92
174,Cabedelo,BR,1529373600,-6.97,-34.84,73.4,94,3.36,75
175,Ixtacomitan,MX,1529374337,17.43,-93.1,74.16,84,1.61,8
176,Biak,ID,1529374337,-0.91,122.88,81.18,88,4.85,64
177,Nemuro,JP,1529370000,43.32,145.57,59.0,100,9.17,75
178,Salihorsk,BY,1529374337,52.79,27.54,62.01,84,1.39,0
179,Coahuayana,MX,1529374337,18.62,-100.35,65.7,96,1.72,100
180,Roald,NO,1529373000,62.58,6.12,50.0,87,16.11,92
181,Malabo,GQ,1529370000,3.75,8.78,75.2,88,13.87,75
182,Hirara,JP,1529371200,24.8,125.28,84.2,83,23.04,75
183,Margate,ZA,1529374338,-30.86,30.37,60.03,91,1.39,20
184,Tual,ID,1529374338,-5.67,132.75,79.38,100,13.47,48
185,Peace River,CA,1529370000,56.23,-117.29,84.2,35,2.24,20
186,Sobinka,RU,1529374338,55.99,40.02,68.67,54,4.97,0
187,Nadym,RU,1529374339,65.53,72.51,62.73,72,12.35,92
188,Ritchie,ZA,1529370000,-29.03,24.6,41.0,48,3.36,0
189,Nelson Bay,AU,1529371800,-32.72,152.14,50.0,100,16.11,90
190,Deniliquin,AU,1529374339,-35.53,144.96,55.35,81,5.19,0
191,Dukat,RU,1529374339,62.55,155.55,59.4,56,3.62,68
192,Alpena,US,1529372100,45.06,-83.43,71.6,72,6.93,1
193,Sitka,US,1529374340,37.17,-99.65,84.24,43,11.79,0
194,Ipswich,GB,1529373360,52.06,1.15,66.2,82,11.41,68
195,Eureka,US,1529373600,40.8,-124.16,59.0,87,6.93,90
196,Fortuna,US,1529373600,40.6,-124.16,59.0,82,11.41,1
197,Sioux Lookout,CA,1529370000,50.1,-91.92,75.2,36,4.7,40
198,Maraa,BR,1529374341,-1.83,-65.37,72.18,100,1.16,92
199,Redcar,GB,1529373000,54.62,-1.06,59.0,81,4.7,0
200,Vozhega,RU,1529374341,60.47,40.21,68.76,61,5.97,80
201,Takoradi,GH,1529374341,4.89,-1.75,75.6,100,12.46,92
202,Kalabo,ZM,1529374341,-15.0,22.67,51.39,62,6.76,0
203,Komsomolskiy,RU,1529374342,67.55,63.78,41.13,93,18.72,56
204,Morgan City,US,1529372100,29.7,-91.21,75.2,100,4.7,1
205,Dikson,RU,1529374342,73.51,80.55,32.67,97,17.83,88
206,Hit,IQ,1529374342,33.64,42.83,75.33,45,9.66,0
207,Olinda,BR,1529373600,-22.82,-43.41,69.8,73,9.17,75
208,Hokitika,NZ,1529374342,-42.72,170.96,54.36,81,6.98,0
209,Baoro,CF,1529374342,5.69,15.95,65.79,99,8.21,92
210,Kysyl-Syr,RU,1529374343,63.9,122.77,65.34,44,6.98,0
211,Viru,PE,1529373600,-8.42,-78.75,64.4,88,6.93,90
212,Esso,RU,1529374343,55.93,158.7,42.75,96,2.28,0
213,Port Elizabeth,ZA,1529370000,-33.92,25.57,55.4,71,5.82,0
214,Florianopolis,BR,1529373600,-27.6,-48.55,60.8,93,2.73,75
215,Santa Rosa,AR,1529374174,-36.62,-64.29,46.08,74,9.89,20
216,Greencastle,US,1529372100,39.64,-86.86,87.8,74,8.05,1
217,Xapuri,BR,1529374344,-10.65,-68.5,63.09,86,3.29,0
218,Partizanskoye,RU,1529374344,53.35,78.35,60.66,90,4.63,92
219,Port-Gentil,GA,1529374344,-0.72,8.78,75.42,100,11.34,44
220,Oudtshoorn,ZA,1529370000,-33.59,22.2,48.2,76,5.82,0
221,Kuito,AO,1529374344,-12.38,16.94,38.16,73,2.62,0
222,Walvis Bay,NA,1529370000,-22.95,14.51,48.2,93,3.36,0
223,Constitucion,MX,1529372820,23.99,-104.67,62.6,88,4.7,90
224,Kailua,US,1529369820,21.39,-157.74,87.8,65,8.05,1
225,Anloga,GH,1529370000,5.79,0.9,71.6,94,3.36,20
226,Kabanjahe,ID,1529374345,3.1,98.49,77.58,69,2.39,80
227,Kisesa,TZ,1529374345,-2.55,33.05,65.97,92,8.55,0
228,Maltahohe,NA,1529374345,-24.83,16.98,39.24,58,7.2,0
229,Vanimo,PG,1529374345,-2.67,141.3,80.1,100,3.18,32
230,Vaitape,PF,1529374346,-16.52,-151.75,78.21,100,16.15,92
231,Pizarro,CO,1529374346,4.95,-77.37,78.03,100,1.5,64
232,Lorengau,PG,1529374256,-2.02,147.27,84.6,100,3.18,8
233,Sarkand,KZ,1529374052,45.41,79.91,74.25,56,11.56,92
234,Atar,MR,1529374346,20.52,-13.05,73.98,35,4.63,0
235,Lucea,JM,1529373600,18.44,-78.17,82.4,78,3.36,20
236,Itarema,BR,1529374346,-2.92,-39.92,74.52,95,7.43,36
237,Havoysund,NO,1529373000,71.0,24.66,46.4,100,11.41,90
238,Volodarskiy,RU,1529371800,46.4,48.54,64.4,42,6.71,0
239,Antalaha,MG,1529374347,-14.9,50.28,72.81,98,14.14,92
240,Marsh Harbour,BS,1529374307,26.54,-77.06,79.11,100,7.65,0
241,Ambulu,ID,1529374347,-8.35,113.61,81.0,89,4.74,24
242,Great Yarmouth,GB,1529373000,52.61,1.73,64.4,82,13.87,44
243,Skibbereen,IE,1529373600,51.55,-9.27,55.4,93,2.24,75
244,Tongren,CN,1529374348,27.72,109.18,84.15,72,8.66,68
245,Cairns,AU,1529371800,-16.92,145.77,75.2,31,17.22,20
246,Xucheng,CN,1529374348,33.0,118.51,79.92,83,11.12,92
247,Northam,AU,1529371800,-31.65,116.67,57.2,82,6.93,75
248,Bermeo,ES,1529371800,43.42,-2.72,62.6,93,4.7,92
249,Kedrovyy,RU,1529371800,56.17,91.82,64.4,72,2.24,0
250,College,US,1529373480,64.86,-147.8,69.8,46,8.05,75
251,Hamilton,BM,1529373300,32.3,-64.78,73.4,73,5.82,40
252,San Cristobal,EC,1529374349,-1.02,-79.44,57.15,100,1.83,0
253,Kirakira,SB,1529374349,-10.46,161.92,79.92,100,13.13,44
254,Krasnooktyabrskiy,RU,1529371800,44.93,38.37,59.0,82,6.71,0
255,Cayenne,GF,1529373600,4.94,-52.33,73.4,100,6.42,32
256,Mount Hagen,PG,1529370000,-5.86,144.23,71.6,64,9.17,40
257,Maloy,NO,1529373000,61.94,5.11,51.8,76,18.34,92
258,Half Moon Bay,US,1529373300,37.46,-122.43,78.8,87,6.93,90
259,Gweta,BW,1529374350,-20.21,25.26,45.81,66,2.73,0
260,Birao,CF,1529374350,10.3,22.78,69.93,89,8.88,36
261,Isla Mujeres,MX,1529372400,21.23,-86.73,80.6,88,8.05,40
262,San Ramon,BO,1529374350,-13.27,-64.62,62.46,86,7.99,0
263,Magoula,GR,1529371200,38.08,23.52,68.0,82,5.82,20
264,Srivardhan,IN,1529374351,18.03,73.02,74.97,100,6.08,92
265,Rozivka,UA,1529374351,47.51,38.15,64.17,36,6.53,0
266,Bukama,CD,1529374351,-9.2,25.85,59.13,75,3.74,0
267,Rostov-na-Donu,RU,1529374351,47.24,39.71,63.18,47,3.62,0
268,Muravlenko,RU,1529374351,63.79,74.5,56.07,100,7.31,92
269,Fort-Shevchenko,KZ,1529374055,44.51,50.26,71.37,82,9.55,48
270,Bathsheba,BB,1529373600,13.22,-59.52,75.2,88,9.17,40
271,High Level,CA,1529370000,58.52,-117.13,84.2,35,3.36,40
272,Liaocheng,CN,1529374352,36.44,115.96,86.67,65,4.74,12
273,Blagoyevo,RU,1529374352,63.37,47.92,63.54,54,3.4,24
274,Severo-Kurilsk,RU,1529374245,50.68,156.12,45.0,91,3.62,0
275,Bronnoysund,NO,1529373000,65.46,12.2,46.4,100,6.93,92
276,Leshukonskoye,RU,1529374352,64.9,45.76,62.73,51,4.85,0
277,Raudeberg,NO,1529373000,61.99,5.14,51.8,76,18.34,92
278,Shimanovsk,RU,1529374353,52.0,127.67,61.11,62,6.87,88
279,Atuona,PF,1529374239,-9.8,-139.03,80.73,100,17.72,0
280,Shingu,JP,1529370000,33.72,135.99,69.8,88,4.7,75
281,Agaro,ET,1529374353,7.86,36.59,58.5,100,2.17,88
282,Alugan,PH,1529374353,12.22,125.48,85.23,95,3.51,56
283,Hobyo,SO,1529374353,5.35,48.53,74.7,87,18.16,8
284,Kaitangata,NZ,1529374354,-46.28,169.85,44.82,90,12.68,76
285,Arraial do Cabo,BR,1529374354,-22.97,-42.02,69.75,96,10.0,68
286,Waingapu,ID,1529374354,-9.65,120.26,85.95,58,10.22,0
287,Mount Isa,AU,1529371800,-20.73,139.49,62.6,23,14.99,0
288,Kumano,JP,1529371500,34.34,132.59,71.6,94,3.36,75
289,Evensk,RU,1529374354,61.92,159.24,44.1,100,6.98,32
290,Longyearbyen,SJ,1529373000,78.22,15.64,42.8,48,17.22,0
291,Iquique,CL,1529373600,-20.22,-70.14,59.0,72,2.62,75
292,Dhidhdhoo,MV,1529374355,6.88,73.1,83.52,98,17.05,80
293,Gustavo Diaz Ordaz,MX,1529372820,24.01,-104.69,62.6,88,4.7,90
294,Vestmannaeyjar,IS,1529374355,63.44,-20.27,45.9,90,15.26,76
295,Makakilo City,US,1529369820,21.35,-158.09,87.8,58,10.29,1
